GENDER,AGE_GROUP,reduce_GBN_CD,CT_PY_CYCLE_CD,CT_PY_PD,mean_AMT,GBN_CD_1,GBN_CD_2,GBN_CD_3,GBN_CD_4,보험계약건수,해지율,만기율,청구건수,계약유지율,업권,코사인군집
2,2,7,1,0,5000.0,1,0,0,0,5.0,0.0,0.6,0.0,100.0,2,1
2,2,1,2,5,170.0,1,0,0,0,4.0,0.75,0.0,0.0,100.0,2,2
1,4,2,2,10,18.0,1,1,1,0,12.0,0.25,0.08,5.0,100.0,2,0
1,7,2,2,10,17.0,0,1,0,0,8.0,0.12,0.5,0.0,100.0,2,0
1,5,2,2,20,1300.0,0,1,0,0,17.0,0.06,0.06,1.0,100.0,2,1
2,3,2,2,10,23.0,1,1,0,1,11.0,0.64,0.0,0.0,100.0,2,0
2,1,1,2,20,130.0,1,1,1,1,10.0,0.0,0.8,0.0,100.0,2,2
2,8,2,2,10,56.0,0,1,0,0,3.0,0.0,0.33,0.0,100.0,2,3
1,2,7,2,10,130.0,1,0,0,0,12.0,0.5,0.08,2.0,100.0,2,2
2,4,7,1,0,5000.0,1,0,0,0,7.0,0.43,0.0,3.0,100.0,2,1
1,7,2,2,5,45.0,0,1,0,0,1.0,0.0,0.0,0.0,100.0,2,3
1,4,1,2,15,150.0,1,0,0,0,6.0,0.17,0.67,1.0,100.0,2,2
1,3,2,2,10,7.0,0,1,1,0,7.0,0.29,0.0,0.0,100.0,2,0
2,6,2,2,15,18.0,1,1,1,1,12.0,0.17,0.25,0.0,100.0,2,0
1,5,2,2,15,32.0,1,1,1,0,2.0,0.5,0.0,0.0,100.0,2,0
2,6,1,2,20,25.0,1,0,0,0,4.0,0.25,0.0,1.0,100.0,2,0
2,6,2,2,20,27.0,0,1,0,0,6.0,0.0,0.17,0.0,100.0,2,0
2,6,2,2,15,54.0,1,1,1,1,4.0,0.25,0.0,1.0,100.0,2,3
1,4,2,2,10,22.0,0,1,1,0,8.0,0.0,0.0,2.0,100.0,2,0
2,6,1,2,15,250.0,1,1,1,0,3.0,0.33,0.0,0.0,100.0,2,4
1,4,1,2,15,265.0,1,1,1,0,6.0,0.17,0.0,0.0,100.0,2,4
2,3,2,2,20,23.0,0,1,1,0,11.0,0.18,0.0,0.0,100.0,2,0
1,3,1,2,20,59.0,1,1,1,0,1.0,0.0,0.0,0.0,100.0,2,3
1,6,2,2,20,29.0,1,1,0,0,10.0,0.5,0.0,3.0,100.0,2,0
1,6,2,2,15,250.0,1,1,1,0,4.0,0.0,0.0,2.0,100.0,2,4
2,3,7,2,10,200.0,1,0,0,0,4.0,0.0,0.25,3.0,100.0,2,4
2,3,2,2,20,226.66666666666663,1,1,1,1,12.0,0.17,0.0,0.0,100.0,2,4
