,GENDER,AGE_GROUP,CT_PY_CYCLE_CD,CT_PY_PD,mean_AMT,GBN_CD_1,GBN_CD_2,GBN_CD_3,GBN_CD_4,보험계약건수,해지율,만기율,청구건수,계약유지율,코사인군집
0,1,4,1,0,110.0,1,0,0,1,3.0,0.0,1.0,0.0,100.0,4
1,1,6,2,10,15.0,1,1,1,1,6.0,0.17,0.17,2.0,100.0,2
2,1,2,2,20,140.0,1,1,1,1,5.0,0.4,0.0,0.0,100.0,4
3,1,5,1,0,280.0,1,1,1,0,7.0,0.14,0.0,2.0,100.0,1
4,2,3,2,20,33.0,0,0,1,1,6.0,0.33,0.0,0.0,100.0,0
5,2,7,2,10,35.0,1,0,1,0,10.0,0.0,0.6,0.0,100.0,0
6,1,5,1,0,31.0,1,0,0,0,12.0,0.08,0.42,0.0,100.0,2
7,2,4,2,10,52.0,0,0,1,1,6.0,0.67,0.0,0.0,5.0,3
8,1,4,2,30,140.0,1,1,1,1,7.0,0.29,0.0,2.0,100.0,4
9,1,5,2,10,26.0,0,0,1,0,22.0,0.41,0.05,1.0,100.0,2
10,2,4,2,30,47.0,1,1,1,1,15.0,0.27,0.13,0.0,100.0,0
11,2,4,2,20,88.66666666666667,1,0,0,0,8.0,0.12,0.0,1.0,100.0,4
12,1,5,2,3,24.0,1,0,0,0,4.0,0.5,0.75,0.0,100.0,2
13,1,3,2,20,14.0,1,1,1,1,3.0,0.67,0.0,1.0,100.0,2
14,1,5,2,10,81.0,0,1,1,0,3.0,0.0,0.33,1.0,100.0,4
15,2,3,2,5,85.5,1,0,0,0,9.0,0.11,0.78,0.0,100.0,4
16,2,4,2,15,33.0,1,1,1,1,5.0,0.0,0.2,1.0,100.0,0
17,2,5,2,20,78.0,1,1,1,1,13.0,0.15,0.0,0.0,100.0,4
18,2,2,2,20,29.0,1,1,1,1,9.0,0.11,0.0,0.0,100.0,2
19,1,4,2,30,105.0,1,1,1,1,6.0,0.0,0.0,0.0,100.0,4
20,1,7,2,20,22.0,1,1,1,1,4.0,0.25,0.25,4.0,100.0,2
21,1,4,2,20,22.0,1,1,1,1,7.0,0.29,0.14,0.0,100.0,2
22,1,3,2,5,61.0,1,1,1,1,3.0,0.33,0.0,0.0,53.333333333333336,4
23,1,6,2,20,33.0,1,0,0,0,5.0,0.0,0.2,1.0,100.0,0
24,2,5,2,49,24.0,1,1,0,0,11.0,0.0,0.64,4.0,100.0,2
25,2,4,2,20,10.0,1,0,0,0,1.0,0.0,0.0,1.0,33.33333333333333,2
26,2,3,2,29,193.3333333333333,1,0,0,0,4.0,0.5,0.0,0.0,100.0,1
27,1,4,2,20,56.0,1,1,1,1,3.0,0.33,0.0,0.0,17.5,1
28,1,6,2,20,32.0,0,1,0,1,3.0,0.33,0.0,4.0,100.0,0
29,2,5,2,20,140.0,1,1,0,0,12.0,0.42,0.0,1.0,100.0,4
30,1,4,2,10,32.0,1,1,1,1,4.0,0.75,0.0,0.0,100.0,2
31,1,6,2,10,4.0,1,0,0,1,8.0,0.0,0.5,5.0,100.0,2
