GENDER,AGE_GROUP,reduce_GBN_CD,CT_PY_CYCLE_CD,CT_PY_PD,mean_AMT,GBN_CD_1,GBN_CD_2,GBN_CD_3,GBN_CD_4,보험계약건수,해지율,만기율,청구건수,계약유지율,코사인군집
2,4,7,2,3,180.0,1,0,0,0,8.0,0.38,0.12,4.0,100.0,3
1,5,3,2,20,50.0,1,1,1,0,7.0,0.29,0.0,0.0,100.0,1
2,6,7,2,10,440.0,1,0,0,0,5.0,0.0,0.6,0.0,100.0,2
2,3,1,2,20,15.0,1,1,1,0,4.0,0.0,0.0,2.0,100.0,4
2,3,1,2,15,37.0,1,1,1,1,8.0,0.12,0.0,0.0,100.0,1
1,5,2,2,10,62.0,0,1,1,0,8.0,0.38,0.0,2.0,100.0,1
2,3,2,2,10,17.0,0,1,0,0,5.0,0.0,0.0,1.0,100.0,4
2,3,3,1,0,1000.0,1,0,0,0,4.0,0.25,0.75,0.0,100.0,2
2,3,2,2,10,16.0,0,1,0,0,8.0,0.12,0.0,0.0,100.0,4
1,4,5,2,20,28.0,1,0,1,1,9.0,0.44,0.0,2.0,100.0,4
2,5,2,2,20,47.0,0,1,1,0,6.0,0.0,0.0,0.0,100.0,1
2,7,2,2,31,24.0,1,1,0,0,3.0,0.0,0.0,0.0,100.0,4
2,3,3,2,20,7.0,0,1,1,0,4.0,0.25,0.0,0.0,100.0,4
1,3,1,2,10,52.0,1,1,1,0,6.0,0.0,0.17,5.0,100.0,1
2,3,1,2,10,69.0,1,1,1,0,8.0,0.12,0.38,1.0,100.0,1
2,5,3,2,30,3.0,1,0,0,0,5.0,0.0,0.0,0.0,100.0,4
2,6,7,2,10,83.0,1,0,0,1,14.0,0.43,0.0,0.0,100.0,0
1,6,1,2,20,32.0,1,0,0,0,6.0,0.0,0.17,0.0,100.0,1
2,3,1,2,20,28.0,1,0,1,0,12.0,0.17,0.0,0.0,100.0,4
2,4,2,2,10,36.0,0,1,1,0,6.0,0.17,0.0,0.0,100.0,1
2,4,1,2,20,72.5,1,1,1,0,11.0,0.18,0.0,0.0,100.0,1
1,7,3,2,15,30.0,1,1,1,1,4.0,0.25,0.0,2.0,100.0,1
1,5,3,2,20,35.0,1,1,1,0,2.0,0.0,0.0,0.0,100.0,1
2,5,2,2,10,29.0,0,1,0,0,5.0,0.0,0.0,1.0,100.0,4
2,4,2,2,10,13.0,0,1,0,0,18.0,0.22,0.22,1.0,100.0,4
2,6,3,2,20,18.0,1,1,1,0,10.0,0.0,0.2,2.0,100.0,4
2,5,3,2,10,18.5,1,0,0,1,8.0,0.25,0.0,3.0,100.0,4
2,5,1,2,5,440.0,1,0,0,0,17.0,0.29,0.0,1.0,100.0,2
2,6,3,2,20,5.0,0,1,1,0,5.0,0.2,0.0,0.0,100.0,4
1,3,3,2,20,4.0,0,1,1,0,9.0,0.22,0.11,4.0,100.0,4
2,5,2,2,10,62.0,0,1,1,0,5.0,0.2,0.0,0.0,100.0,1
1,6,3,2,20,6.0,0,1,1,0,6.0,0.0,0.0,1.0,100.0,4
2,4,7,2,5,1100.0,1,0,0,0,7.0,0.14,0.29,0.0,100.0,2
1,3,8,2,10,21.0,0,0,0,1,5.0,0.2,0.4,1.0,100.0,4
1,5,2,2,10,25.0,0,1,0,0,4.0,0.0,0.0,2.0,100.0,4
1,6,3,1,0,37.0,1,0,1,0,6.0,0.33,0.0,0.0,100.0,1
2,5,2,2,10,27.0,0,1,0,0,10.0,0.4,0.0,0.0,100.0,4
2,4,9,2,3,27.0,0,1,1,1,16.0,0.0,0.31,0.0,100.0,4
1,7,1,2,10,57.0,1,0,0,0,3.0,0.0,0.33,0.0,100.0,1
2,7,2,2,10,45.0,0,1,0,0,6.0,1.33,0.0,0.0,87.5,1
1,5,7,2,3,700.0,1,0,0,0,11.0,0.27,0.0,1.0,100.0,2
2,7,2,2,25,31.0,1,1,0,0,9.0,0.0,0.22,0.0,100.0,1
2,7,3,2,20,3.0,0,1,1,0,5.0,0.0,0.0,0.0,100.0,4
1,5,2,2,10,31.0,0,1,0,0,5.0,0.4,0.4,0.0,100.0,1
2,5,2,2,10,17.0,0,1,0,0,9.0,0.0,0.0,3.0,100.0,4
2,4,7,2,10,71.0,1,0,0,0,11.0,0.36,0.09,0.0,100.0,1
1,1,4,2,10,80.0,0,1,1,0,7.0,0.57,0.14,0.0,100.0,0
2,3,1,2,30,59.0,1,1,1,0,2.0,0.0,0.0,0.0,100.0,1
1,7,2,2,30,35.0,1,1,1,0,1.0,0.0,0.0,0.0,100.0,1
2,3,2,2,10,14.0,0,1,0,0,8.0,0.38,0.0,2.0,100.0,4
2,4,2,2,10,20.0,0,1,0,0,8.0,0.25,0.0,0.0,100.0,4
1,3,3,2,20,7.0,0,1,1,0,11.0,0.0,0.0,0.0,100.0,4
2,3,2,2,20,34.0,0,1,1,0,5.0,0.0,0.0,2.0,100.0,1
2,7,2,2,10,30.0,0,1,0,0,6.0,0.0,0.0,0.0,100.0,1
2,6,1,2,15,40.0,1,0,0,0,10.0,0.2,0.1,0.0,100.0,1
2,2,1,2,20,45.0,1,1,1,0,4.0,0.5,0.0,2.0,100.0,1
1,4,3,2,30,6.0,1,0,0,0,20.0,0.55,0.0,0.0,100.0,4
1,4,7,2,10,36.0,1,0,0,0,5.0,0.0,0.0,1.0,100.0,1
1,4,2,2,10,38.0,0,1,0,0,20.0,0.55,0.0,0.0,100.0,1
2,3,2,2,10,19.0,0,1,1,0,3.0,0.33,0.0,0.0,100.0,4
1,7,1,2,10,110.0,1,1,1,0,2.0,0.0,0.0,0.0,100.0,0
2,3,2,2,10,26.0,1,1,1,0,2.0,0.0,0.0,2.0,100.0,4
2,2,2,2,10,12.0,0,1,0,0,8.0,0.62,0.0,4.0,15.0,0
2,3,1,2,30,22.0,1,1,0,0,6.0,0.0,0.0,5.0,100.0,4
1,4,9,2,3,80.0,1,1,1,1,11.0,0.36,0.0,0.0,63.888888888888886,0
1,4,7,2,10,90.0,1,0,0,0,12.0,0.25,0.17,0.0,100.0,0
2,3,8,2,10,120.0,0,0,0,1,17.0,0.06,0.0,4.0,100.0,0
2,5,1,2,20,110.0,1,1,1,0,3.0,0.0,0.0,4.0,100.0,0
1,6,2,2,10,81.0,0,1,0,0,3.0,0.0,0.0,1.0,100.0,0
1,3,1,2,20,62.0,1,1,1,1,13.0,0.0,0.0,0.0,100.0,1
1,7,2,2,31,16.0,1,0,1,0,6.0,0.17,0.17,0.0,100.0,4
2,5,7,2,5,1700.0,1,0,0,0,6.0,0.0,0.0,1.0,100.0,2
2,3,8,2,15,74.0,0,0,0,1,3.0,0.0,0.33,0.0,100.0,0
1,3,2,2,10,16.0,0,0,1,0,4.0,0.5,0.0,0.0,83.33333333333334,4
1,6,7,2,5,130.0,1,0,0,1,3.0,0.67,0.33,0.0,76.66666666666667,3
2,5,2,2,10,55.0,0,1,1,0,9.0,0.0,0.11,0.0,100.0,1
2,6,2,2,10,25.0,0,1,1,0,13.0,0.0,0.0,0.0,100.0,4
1,6,3,2,5,12.0,1,0,0,0,7.0,0.0,0.0,0.0,100.0,4
2,6,2,2,10,59.0,0,1,0,0,1.0,0.0,0.0,0.0,100.0,1
