JOIN_SN,보험계약건수,해지건수,만기건수,해지율,만기율
8,9,4,0,0.44,0.0
18,1,0,1,0.0,1.0
98,3,0,1,0.0,0.33
133,4,1,0,0.25,0.0
182,9,2,0,0.22,0.0
194,3,2,0,0.67,0.0
330,2,0,0,0.0,0.0
347,3,0,0,0.0,0.0
397,3,0,0,0.0,0.0
510,2,1,0,0.5,0.0
514,3,0,0,0.0,0.0
566,8,4,0,0.5,0.0
579,4,2,0,0.5,0.0
608,2,1,0,0.5,0.0
708,4,2,0,0.5,0.0
756,6,0,1,0.0,0.17
808,1,0,1,0.0,1.0
949,3,0,1,0.0,0.33
974,1,1,0,1.0,0.0
987,4,0,1,0.0,0.25
1010,8,0,5,0.0,0.62
1064,9,3,1,0.33,0.11
1065,11,1,5,0.09,0.45
1068,8,0,0,0.0,0.0
1108,2,0,0,0.0,0.0
1127,7,1,0,0.14,0.0
1138,4,0,0,0.0,0.0
1170,1,0,0,0.0,0.0
1223,4,1,0,0.25,0.0
1346,7,2,0,0.29,0.0
1350,5,0,1,0.0,0.2
1453,5,1,1,0.2,0.2
1490,1,0,0,0.0,0.0
1661,2,1,0,0.5,0.0
1682,5,1,0,0.2,0.0
1706,6,2,0,0.33,0.0
1716,1,0,0,0.0,0.0
1754,1,0,0,0.0,0.0
1808,3,0,0,0.0,0.0
1885,1,0,0,0.0,0.0
1908,2,0,0,0.0,0.0
1921,7,8,1,1.14,0.14
1983,6,5,0,0.83,0.0
2013,1,0,0,0.0,0.0
2054,8,4,0,0.5,0.0
2066,1,0,0,0.0,0.0
2081,8,1,2,0.12,0.25
2153,9,3,2,0.33,0.22
2303,14,7,0,0.5,0.0
2376,8,3,0,0.38,0.0
2425,11,5,1,0.45,0.09
2575,2,0,0,0.0,0.0
2577,3,0,0,0.0,0.0
2594,6,0,2,0.0,0.33
2648,5,0,1,0.0,0.2
2748,3,1,0,0.33,0.0
2789,2,0,0,0.0,0.0
2808,1,0,0,0.0,0.0
2862,3,1,0,0.33,0.0
2910,2,2,0,1.0,0.0
2983,5,0,1,0.0,0.2
3010,1,0,1,0.0,1.0
3205,1,1,0,1.0,0.0
3258,14,6,1,0.43,0.07
3279,2,1,0,0.5,0.0
3374,2,0,0,0.0,0.0
3538,8,2,1,0.25,0.12
3685,2,1,0,0.5,0.0
3703,2,0,0,0.0,0.0
3776,6,2,0,0.33,0.0
3877,5,2,0,0.4,0.0
3888,7,1,6,0.14,0.86
3906,3,0,0,0.0,0.0
4017,1,0,0,0.0,0.0
4075,5,1,0,0.2,0.0
4126,1,0,0,0.0,0.0
4221,1,1,0,1.0,0.0
4236,8,4,0,0.5,0.0
4246,1,0,1,0.0,1.0
4290,2,1,0,0.5,0.0
4317,1,0,0,0.0,0.0
4371,4,0,0,0.0,0.0
4373,9,5,1,0.56,0.11
4378,9,4,5,0.44,0.56
4530,1,0,0,0.0,0.0
4534,4,0,0,0.0,0.0
4535,1,0,0,0.0,0.0
4561,1,0,0,0.0,0.0
4716,5,0,3,0.0,0.6
4729,7,4,1,0.57,0.14
4759,3,2,0,0.67,0.0
4847,2,0,2,0.0,1.0
4877,9,3,0,0.33,0.0
4923,8,1,0,0.12,0.0
4948,2,0,0,0.0,0.0
5003,1,0,0,0.0,0.0
5090,6,0,2,0.0,0.33
5118,9,0,0,0.0,0.0
5148,5,0,3,0.0,0.6
5206,6,0,0,0.0,0.0
5234,1,0,0,0.0,0.0
5246,2,0,0,0.0,0.0
5291,1,1,0,1.0,0.0
5325,6,3,0,0.5,0.0
5368,5,0,4,0.0,0.8
5375,1,0,0,0.0,0.0
5422,13,3,0,0.23,0.0
5474,13,2,2,0.15,0.15
5510,3,0,0,0.0,0.0
5522,3,0,1,0.0,0.33
5612,3,0,0,0.0,0.0
5622,5,0,0,0.0,0.0
5840,3,1,0,0.33,0.0
5948,2,0,0,0.0,0.0
5974,2,0,1,0.0,0.5
5980,5,1,0,0.2,0.0
5996,3,1,2,0.33,0.67
6132,6,1,1,0.17,0.17
6169,3,1,1,0.33,0.33
6225,7,4,0,0.57,0.0
6234,2,1,0,0.5,0.0
6280,7,4,0,0.57,0.0
6282,1,0,0,0.0,0.0
6317,1,1,0,1.0,0.0
6323,4,0,0,0.0,0.0
6366,1,1,0,1.0,0.0
6394,2,0,1,0.0,0.5
6455,4,0,0,0.0,0.0
6706,7,1,4,0.14,0.57
6754,5,3,0,0.6,0.0
6822,11,5,0,0.45,0.0
6829,3,2,0,0.67,0.0
6918,18,4,0,0.22,0.0
6933,3,1,0,0.33,0.0
6934,19,13,1,0.68,0.05
7020,2,1,0,0.5,0.0
7095,5,3,0,0.6,0.0
7215,6,2,0,0.33,0.0
7283,5,5,0,1.0,0.0
7290,2,1,0,0.5,0.0
7384,1,1,0,1.0,0.0
7387,7,0,0,0.0,0.0
7393,3,1,0,0.33,0.0
7469,3,0,0,0.0,0.0
7494,11,4,3,0.36,0.27
7520,14,1,4,0.07,0.29
7879,9,0,2,0.0,0.22
7901,4,2,0,0.5,0.0
7907,2,1,0,0.5,0.0
7956,3,0,0,0.0,0.0
8033,3,0,1,0.0,0.33
8049,2,1,0,0.5,0.0
8145,3,0,0,0.0,0.0
8213,4,3,0,0.75,0.0
8294,6,0,1,0.0,0.17
8318,1,0,0,0.0,0.0
8349,2,2,0,1.0,0.0
8392,3,1,0,0.33,0.0
8418,4,1,1,0.25,0.25
8436,3,2,0,0.67,0.0
8503,2,2,0,1.0,0.0
8667,8,6,1,0.75,0.12
8707,4,1,0,0.25,0.0
8708,16,0,14,0.0,0.88
8773,7,0,0,0.0,0.0
8828,1,0,0,0.0,0.0
8848,8,1,0,0.12,0.0
8887,10,0,0,0.0,0.0
8900,1,0,1,0.0,1.0
8912,5,1,0,0.2,0.0
8939,2,0,0,0.0,0.0
8965,6,1,0,0.17,0.0
9015,4,0,0,0.0,0.0
9035,5,1,0,0.2,0.0
9061,6,6,0,1.0,0.0
9143,3,0,0,0.0,0.0
9195,7,2,2,0.29,0.29
9221,4,2,0,0.5,0.0
9272,7,2,0,0.29,0.0
9301,3,0,3,0.0,1.0
9441,1,0,0,0.0,0.0
9510,8,4,0,0.5,0.0
9612,2,1,0,0.5,0.0
9702,1,0,0,0.0,0.0
9703,5,0,0,0.0,0.0
9715,5,3,1,0.6,0.2
9874,11,2,2,0.18,0.18
9954,1,0,0,0.0,0.0
9990,2,0,1,0.0,0.5
10022,8,0,1,0.0,0.12
10035,2,0,0,0.0,0.0
10114,5,1,1,0.2,0.2
10136,6,4,0,0.67,0.0
10181,2,1,0,0.5,0.0
10184,12,4,0,0.33,0.0
10234,11,1,7,0.09,0.64
10313,4,0,2,0.0,0.5
10351,4,0,0,0.0,0.0
